Sex,DVRT,Educational.Level,Leaving.Certificate,Father.Occupation.Score,School.Type
1,113,3,1,28,1
1,101,1,1,28,9
1,110,9,2,69,1
1,121,5,1,57,1
1,82,4,1,18,2
1,85,4,1,28,2
1,84,1,1,0,9
1,98,2,1,43,2
1,92,4,1,33,2
1,90,1,1,18,9
1,88,4,1,28,2
1,84,4,1,18,2
1,114,11,2,18,1
1,70,4,1,57,2
1,109,9,2,40,1
1,83,4,1,43,2
1,108,4,1,69,2
1,95,3,1,43,1
1,90,4,1,28,2
1,107,9,2,28,1
1,86,1,1,18,9
1,70,2,1,43,2
1,114,9,2,0,1
1,117,9,2,42,1
1,112,9,2,43,1
1,88,11,2,0,1
1,106,11,2,42,1
1,125,11,2,28,1
1,94,9,2,0,1
1,103,5,1,0,1
1,123,9,2,46,1
1,100,4,1,35,2
1,90,3,1,27,1
1,70,4,1,51,2
1,90,3,1,46,1
1,99,3,1,0,1
1,123,3,1,43,1
1,127,9,2,43,1
1,124,9,2,62,1
1,110,6,1,27,2
1,94,9,2,43,1
1,112,9,2,40,1
1,123,9,2,35,1
1,70,3,1,18,1
1,102,4,1,43,2
1,126,11,2,27,1
1,121,9,2,40,1
1,100,2,1,43,2
1,85,2,1,31,2
1,86,4,1,31,2
1,101,2,1,28,2
1,91,5,1,40,1
1,113,9,2,43,1
1,103,4,1,33,2
1,117,7,1,18,1
1,72,2,1,43,2
1,70,1,1,18,9
1,112,3,1,18,1
1,65,1,1,18,9
1,97,5,1,35,1
1,100,4,1,43,2
1,99,4,1,18,2
1,91,2,1,28,2
1,107,0,1,43,1
1,94,2,1,43,2
1,104,5,1,36,1
1,117,9,2,0,1
1,104,5,1,43,1
1,115,0,1,66,1
2,123,7,1,35,1
2,103,5,1,43,1
2,109,4,1,43,2
2,99,5,1,61,1
2,100,11,2,47,1
2,100,5,1,62,1
2,107,9,2,40,1
2,70,1,1,18,9
2,91,5,1,30,1
2,117,9,2,43,1
2,115,9,2,57,1
2,93,5,1,43,1
2,103,9,2,30,1
2,99,5,1,57,1
2,115,3,1,36,1
2,104,9,2,38,1
2,116,5,1,47,1
2,94,3,1,51,1
2,114,11,2,43,1
2,113,5,1,18,1
2,106,2,1,0,2
2,119,9,2,57,1
2,114,9,2,48,1
2,108,9,2,27,1
2,97,3,1,46,1
2,83,1,1,28,9
2,103,5,1,43,1
2,104,5,1,64,1
2,97,5,1,18,1
2,109,5,1,69,1
2,90,5,1,33,1
2,114,4,1,28,2
2,99,5,1,38,1
2,94,9,2,35,1
2,86,5,1,28,1
2,93,9,2,35,1
2,91,4,1,28,2
2,109,7,1,40,1
2,91,5,1,28,1
2,106,4,1,28,2
2,109,9,2,43,1
2,111,5,1,51,1
2,111,5,1,0,1
2,106,4,1,0,2
2,86,4,1,40,2
2,107,3,1,18,1
2,103,1,1,28,9
2,100,3,1,18,1
2,101,5,1,38,1
2,97,2,1,36,2
2,105,4,1,46,2
2,98,2,1,37,2
2,111,5,1,18,1
2,88,3,1,57,1
2,123,5,1,28,1
2,98,5,1,33,1
2,94,4,1,43,2
2,109,5,1,28,1
2,70,1,1,18,9
2,75,2,1,33,2
2,72,9,2,18,1
2,70,2,1,18,2
2,70,1,1,18,9
2,70,1,1,18,9
2,70,1,1,18,9
2,85,1,1,18,9
2,108,4,1,28,2
2,75,2,1,28,2
2,104,9,2,0,1
2,103,5,1,38,1
2,122,11,2,38,1
2,110,9,2,40,1
1,107,9,2,40,1
1,104,11,2,75,1
1,70,5,1,58,1
1,116,0,1,18,1
1,103,1,1,43,9
1,95,9,2,43,1
1,113,4,1,0,2
1,126,2,1,61,2
1,118,9,2,71,1
1,115,9,2,27,1
1,89,2,1,43,2
1,113,11,2,61,1
1,85,9,2,37,1
1,95,9,2,43,1
1,109,11,2,57,1
1,111,9,2,69,1
1,116,9,2,75,1
1,90,6,1,43,2
1,90,2,1,28,2
1,82,1,1,31,9
1,84,0,1,33,1
1,117,6,1,28,2
1,71,6,1,40,2
1,104,10,2,69,1
1,86,2,1,18,2
1,79,4,1,46,2
1,80,4,1,65,2
1,99,9,2,18,1
1,86,2,1,61,2
1,116,11,2,18,1
1,124,9,2,65,1
1,98,1,1,28,9
1,101,5,1,35,1
1,87,1,1,43,9
1,97,11,2,40,1
1,120,11,2,43,1
1,103,9,2,43,1
1,107,9,2,40,1
1,105,7,1,57,1
1,99,8,2,37,2
1,103,8,2,28,2
1,101,3,1,28,1
2,102,5,1,18,1
2,105,8,2,18,2
2,70,2,1,18,2
2,101,11,2,43,1
2,90,8,2,42,2
2,85,9,2,43,1
2,104,9,2,18,1
2,87,8,2,18,2
2,85,9,2,37,1
2,102,4,1,42,2
2,94,5,1,37,1
2,93,9,2,37,1
2,99,11,2,37,1
2,103,9,2,38,1
2,89,5,1,18,1
2,77,1,1,0,9
2,92,4,1,37,2
2,109,9,2,43,1
2,91,5,1,18,1
2,109,9,2,58,1
2,105,3,1,57,1
2,105,9,2,18,1
2,90,5,1,69,1
2,99,11,2,69,1
2,110,9,2,37,1
2,88,9,2,37,1
2,101,9,2,66,1
2,91,2,1,18,2
2,78,9,2,18,1
2,118,11,2,65,1
2,100,1,1,28,9
2,100,4,1,18,2
2,85,9,2,57,1
2,106,11,2,61,1
2,70,2,1,0,2
2,97,2,1,18,2
2,86,1,1,0,9
2,92,2,1,18,2
2,102,1,1,38,9
2,86,2,1,18,2
2,78,9,2,46,1
2,100,2,1,18,2
1,104,9,2,61,1
1,70,5,1,31,1
1,107,9,2,75,1
1,114,9,2,37,1
1,103,2,1,31,2
1,115,5,1,37,1
1,106,9,2,57,1
1,114,9,2,61,1
1,90,9,2,58,1
1,103,9,2,37,1
1,92,3,1,58,1
1,113,11,2,37,1
1,92,5,1,37,1
1,108,11,2,37,1
1,96,3,1,18,1
1,70,3,1,18,1
1,112,9,2,75,1
1,106,9,2,28,1
1,91,9,2,37,1
1,96,4,1,18,2
1,70,1,1,18,9
1,109,9,2,57,1
1,74,4,1,37,2
1,99,3,1,43,1
1,107,9,2,37,1
1,90,5,1,37,1
1,78,4,1,31,2
1,70,1,1,37,9
1,88,2,1,58,2
1,93,4,1,18,2
1,88,2,1,43,2
1,108,9,2,58,1
1,101,11,2,57,1
1,98,2,1,28,2
1,103,9,2,35,1
1,73,9,2,37,1
1,109,0,1,43,1
1,102,4,1,37,2
1,93,2,1,37,2
1,93,2,1,18,2
1,101,9,2,61,1
1,100,6,1,37,2
1,70,1,1,31,9
1,102,2,1,18,2
1,113,4,1,28,2
1,91,5,1,37,1
1,109,5,1,37,1
1,80,1,1,58,9
1,118,8,2,18,2
1,70,1,1,58,9
1,88,4,1,37,2
1,72,4,1,37,2
1,81,9,2,58,1
1,70,2,1,37,2
1,97,2,1,18,2
1,87,9,2,40,1
1,99,4,1,18,2
1,81,1,1,18,9
1,84,4,1,18,2
1,90,2,1,58,2
1,95,9,2,37,1
1,84,2,1,61,2
1,104,6,1,40,2
1,105,2,1,31,2
1,107,3,1,58,1
1,84,2,1,40,2
1,108,4,1,0,2
1,70,6,1,18,2
1,99,11,2,37,1
1,87,9,2,18,1
1,81,1,1,18,9
1,103,9,2,43,1
1,114,9,2,37,1
1,101,9,2,35,1
1,70,1,1,58,9
1,70,4,1,0,2
1,109,9,2,0,1
1,78,8,2,58,2
1,70,1,1,37,9
1,70,4,1,58,2
1,104,9,2,37,1
1,86,1,1,18,9
1,99,4,1,35,2
1,98,4,1,58,2
1,118,4,1,18,2
1,76,2,1,0,2
1,102,3,1,18,1
1,106,4,1,37,2
1,108,4,1,35,2
1,110,6,1,37,2
1,110,4,1,37,2
1,89,6,1,28,2
1,83,4,1,18,2
1,96,5,1,37,1
1,113,11,2,65,1
1,95,9,2,37,1
1,108,4,1,38,2
1,96,5,1,28,1
1,79,7,1,61,1
2,99,5,1,37,1
2,107,11,2,37,1
2,94,2,1,37,2
2,88,5,1,37,1
2,82,5,1,57,1
2,100,9,2,57,1
2,102,9,2,40,1
2,111,9,2,58,1
2,111,9,2,57,1
2,94,1,1,58,9
2,94,9,2,18,1
2,93,4,1,18,2
2,90,9,2,58,1
2,84,5,1,18,1
2,100,4,1,27,2
2,106,9,2,51,1
2,114,10,2,57,1
2,101,9,2,0,1
2,115,9,2,43,1
2,108,9,2,58,1
2,117,11,2,51,1
2,110,5,1,28,1
2,93,9,2,43,1
2,114,11,2,0,1
2,72,1,1,0,9
2,116,9,2,0,1
2,117,11,2,37,1
2,102,9,2,40,1
2,84,9,2,18,1
2,94,3,1,28,1
2,81,9,2,37,1
2,101,5,1,18,1
2,91,9,2,37,1
2,93,9,2,38,1
2,116,9,2,18,1
2,90,9,2,57,1
2,115,9,2,35,1
2,89,1,1,18,9
2,108,11,2,37,1
2,100,9,2,18,1
2,86,4,1,37,2
2,84,5,1,37,1
2,90,4,1,37,2
2,103,11,2,28,1
2,100,9,2,57,1
2,102,9,2,43,1
2,82,5,1,35,1
2,83,5,1,37,1
2,113,9,2,37,1
2,117,11,2,57,1
2,111,9,2,18,1
2,100,9,2,37,1
2,91,11,2,58,1
2,97,9,2,58,1
2,109,10,2,43,1
2,100,3,1,37,1
2,98,5,1,37,1
2,85,7,1,35,1
2,91,1,1,18,9
2,85,5,1,31,1
2,81,9,2,37,1
2,87,9,2,37,1
2,95,11,2,37,1
2,102,3,1,37,1
2,94,1,1,38,9
2,89,7,1,37,1
2,112,2,1,37,2
2,118,9,2,37,1
2,70,7,1,37,1
2,103,11,2,37,1
2,90,9,2,37,1
2,97,9,2,37,1
2,104,6,1,37,2
2,91,2,1,37,2
2,94,4,1,37,2
2,107,3,1,57,1
2,90,3,1,37,1
2,70,9,2,37,1
2,97,4,1,37,2
2,104,5,1,18,1
2,96,5,1,28,1
2,81,2,1,18,2
2,114,9,2,28,1
2,106,4,1,18,2
2,105,9,2,18,1
2,92,2,1,28,2
2,96,9,2,38,1
2,84,4,1,18,2
2,89,2,1,18,2
2,111,9,2,58,1
2,102,4,1,18,2
2,99,4,1,37,2
2,104,3,1,37,1
2,70,4,1,31,2
2,70,4,1,35,2
2,90,2,1,18,2
2,104,9,2,18,1
2,102,9,2,37,1
2,86,9,2,37,1
2,73,9,2,35,1
2,81,5,1,37,1
2,93,9,2,57,1
2,111,7,1,37,1
2,104,3,1,18,1
2,105,5,1,28,1
2,73,5,1,37,1
2,85,9,2,28,1
2,107,11,2,61,1
2,112,11,2,62,1
1,127,11,2,40,1
1,114,5,1,66,1
1,114,9,2,71,1
1,109,2,1,18,2
1,93,9,2,51,1
2,114,9,2,40,1
2,100,9,2,31,1
2,92,3,1,18,1
2,110,9,2,61,1
2,93,4,1,37,2
2,96,2,1,43,2
1,120,0,1,75,1
1,114,11,2,75,1
1,127,11,2,40,1
1,106,9,2,75,1
1,110,9,2,53,1
1,92,6,1,38,2
1,125,11,2,71,1
1,108,9,2,71,1
2,112,9,2,18,1
2,93,9,2,69,1
2,114,9,2,75,1
2,104,9,2,18,1
2,92,9,2,75,1
2,104,5,1,43,1
2,109,9,2,71,1
2,109,11,2,40,1
2,104,5,1,18,1
1,123,6,1,36,2
1,125,11,2,31,1
1,127,11,2,37,1
1,129,11,2,43,1
1,119,10,2,69,1
1,125,4,1,71,2
1,121,9,2,37,1
1,124,9,2,36,1
1,125,9,2,18,1
1,129,5,1,18,1
1,122,9,2,62,1
1,121,10,2,37,1
1,129,10,2,0,1
1,122,9,2,40,1
1,126,4,1,51,2
1,122,11,2,35,1
1,123,9,2,65,1
1,119,11,2,71,1
2,120,11,2,40,1
2,127,2,1,35,2
2,127,9,2,62,1
2,120,9,2,61,1
2,127,9,2,58,1
2,123,9,2,37,1
2,120,11,2,37,1
2,123,9,2,37,1
2,122,4,1,18,2
2,119,11,2,37,1
1,130,6,1,0,2
1,134,10,2,62,1
1,136,11,2,61,1
1,135,11,2,61,1
1,140,11,2,71,1
1,131,9,2,30,1
1,137,11,2,62,1
1,136,11,2,18,1
1,132,11,2,37,1
2,135,11,2,62,1
2,134,11,2,0,1
